id	gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
ACROYT_G001516	Ocupat_v02_G001516	Mpeg1/Pfpl	MACPF	219	5.29	4.39	no
ACROYT_G017437	Ocupat_v02_G017437	Myb:Myb/Mybl1/Mybl2	Myb_DNA-binding/Myb_DNA-binding/Myb_DNA-binding/Cmyb_C	222	14.19	4.28	yes
ACROYT_G024082	Ocupat_v02_G024082		C2	118	58.13	4.24	no
ACROYT_G007652	Ocupat_v02_G007652	Dut	dUTPase	233	23.46	4.23	no
ACROYT_G000273	Ocupat_v02_G000273			420	5.94	4.22	no
ACROYT_G006315	Ocupat_v02_G006315	Slbp	SLBP_RNA_bind	123	32.54	4.13	no
ACROYT_G032456	Ocupat_v02_G032456	Cenpe	Kinesin	120	28.37	4.13	no
ACROYT_G006553	Ocupat_v02_G006553		CYTH	123	26.91	4.12	no
ACROYT_G009849	Ocupat_v02_G009849	Ran/Rasl2-9	Ras	457	6.3	4.12	no
ACROYT_G021420	Ocupat_v02_G021420		Cornifin/Cornifin/F5_F8_type_C/VWA	210	61.95	4.1	no
ACROYT_G025254	Ocupat_v02_G025254	Rpa3	Rep_fac-A_3	179	15.05	4.08	no
ACROYT_G012976	Ocupat_v02_G012976			309	82.84	3.92	no
ACROYT_G027962	Ocupat_v02_G027962			239	69.88	3.92	no
ACROYT_G017013	Ocupat_v02_G017013	Plk1	Pkinase/POLO_box/POLO_box	145	50.35	3.85	no
ACROYT_G018053	Ocupat_v02_G018053	NFYB_NFYC:H2ac1/H2ac4/H2ac6/H2ac7/H2ac8/H2ac10/H2ac11/H2ac12/H2ac13/H2ac15/H2ac18/H2ac19/H2ac20/H2ac21/H2aj/H2aw/H2ax/Hist1h2an/Hist1h2ao/Hist1h2ap	Histone/Histone_H2A_C	375	6.09	3.83	no
ACROYT_G000034	Ocupat_v02_G000034	Chaf1a	CAF-1_p150/CAF1A	135	39.71	3.8	no
ACROYT_G020521	Ocupat_v02_G020521	Numa1		104	38.1	3.79	no
ACROYT_G011943	Ocupat_v02_G011943	Anln	Anillin/PH	125	58.69	3.73	no
ACROYT_G011471	Ocupat_v02_G011471	HMGbox_Sox:like:Sox1/Sox2/Sox3/Sox14/Sox15/Sox21/Sry	HMG_box	145	10.96	3.72	yes
ACROYT_G036540	Ocupat_v02_G036540		Astacin/PLAT	124	58.22	3.7	no
ACROYT_G039025	Ocupat_v02_G039025	Metrn/Metrnl		230	19.57	3.68	no
ACROYT_G006463	Ocupat_v02_G006463			178	2.46	3.61	no
ACROYT_G000211	Ocupat_v02_G000211	Tuba1a/Tuba1b/Tuba1c/Tuba3a/Tuba3b/Tuba4a	Tubulin/Tubulin_C	992	4.95	3.59	no
ACROYT_G007667	Ocupat_v02_G007667			180	86.12	3.58	no
ACROYT_G017538	Ocupat_v02_G017538	Forkhead:Foxn1/Foxn4	Forkhead	101	24.11	3.58	yes
ACROYT_G034732	Ocupat_v02_G034732	Banp		137	11.58	3.56	no
ACROYT_G018754	Ocupat_v02_G018754	Ccna1/Ccna2	Cyclin_N2/Cyclin_N/Cyclin_C	102	22.17	3.55	no
ACROYT_G043362	Ocupat_v02_G043362	Nasp	SHNi-TPR	226	10.05	3.54	no
ACROYT_G003142	Ocupat_v02_G003142		Aminotran_1_2	94	43.32	3.53	no
ACROYT_G000158	Ocupat_v02_G000158	Sub1	PC4	139	10.38	3.53	no
ACROYT_G000590	Ocupat_v02_G000590	Tbca	TBCA	154	8.64	3.52	no
ACROYT_G007769	Ocupat_v02_G007769		UPAR_LY6	117	5.82	3.5	no
ACROYT_G009936	Ocupat_v02_G009936		CAP	181	80.8	3.5	no
ACROYT_G036666	Ocupat_v02_G036666	Tyms	Thymidylat_synt	110	30.3	3.49	no
ACROYT_G034161	Ocupat_v02_G034161	Cuzd1/Eng/Tectb/Tgfbr3/Tgfbr3l/Umodl1/Zp1/Zp2/Zp3/Zpld1	Zona_pellucida	98	4.29	3.46	no
ACROYT_G032106	Ocupat_v02_G032106	Mamdc2	Astacin	129	39.09	3.42	no
ACROYT_G038260	Ocupat_v02_G038260			228	10.28	3.42	no
ACROYT_G037851	Ocupat_v02_G037851	H1f0	Linker_histone	1320	8.84	3.41	no
ACROYT_G036388	Ocupat_v02_G036388	HLH:like:Myc/Mycl/Mycn/Mycs	HLH	144	15.52	3.4	yes
ACROYT_G003651	Ocupat_v02_G003651	Bsph2	fn2	269	17.28	3.36	no
ACROYT_G028878	Ocupat_v02_G028878	Cdca8	Nbl1_Borealin_N/Borealin	97	50.52	3.34	no
ACROYT_G002820	Ocupat_v02_G002820	Bub3	WD40/WD40/WD40	111	11.48	3.32	no
ACROYT_G010184	Ocupat_v02_G010184	Dlgap5	GKAP	109	55.61	3.31	no
ACROYT_G011972	Ocupat_v02_G011972	Tubb1/Tubb4a/Tubb4b/Tubb5	Tubulin/Tubulin_C	3294	4.92	3.31	no
ACROYT_G000485	Ocupat_v02_G000485			84	60	3.3	no
ACROYT_G031785	Ocupat_v02_G031785	HLH:Neurod1/Neurod2/Neurod4/Neurod6	HLH	190	31.51	3.28	yes
ACROYT_G038272	Ocupat_v02_G038272			255	9.39	3.28	no
ACROYT_G025257	Ocupat_v02_G025257	Spc25	Spindle_Spc25	96	49.23	3.27	no
ACROYT_G020107	Ocupat_v02_G020107	Cetn1/Cetn2/Cetn3/Cetn4	EF-hand_7/EF-hand_7	187	8.75	3.26	no
ACROYT_G003159	Ocupat_v02_G003159	Odf2/Odf2l		80	40	3.24	no
ACROYT_G035726	Ocupat_v02_G035726	Dand5/Nbl1	DAN	100	28.09	3.24	no
ACROYT_G005228	Ocupat_v02_G005228	Kif11	Kinesin/Microtub_bind	103	34.11	3.23	no
ACROYT_G007768	Ocupat_v02_G007768	Ly6m/Lynx1/Psca/Slurp2		111	4.07	3.22	no
ACROYT_G003490	Ocupat_v02_G003490		ADH_N/ADH_zinc_N	178	10.75	3.21	no
ACROYT_G003370	Ocupat_v02_G003370			87	68.5	3.2	no
ACROYT_G006459	Ocupat_v02_G006459		BCCT/PLAC8	118	4.51	3.2	no
ACROYT_G032114	Ocupat_v02_G032114	Mgst1/Ptges	MAPEG	187	11.52	3.2	no
ACROYT_G009830	Ocupat_v02_G009830			88	9.71	3.19	no
ACROYT_G020345	Ocupat_v02_G020345	HMGbox_Sox:like:Hmgb1/Hmgb2/Hmgb3/Hmgb4	HMG_box_2/HMG_box	674	4.89	3.19	yes
ACROYT_G000600	Ocupat_v02_G000600	Bfsp2/Des/Gfap/Ina/Krt1/Krt10/Krt12/Krt13/Krt14/Krt15/Krt16/Krt17/Krt18/Krt19/Krt2/Krt20/Krt23/Krt24/Krt25/Krt26/Krt27/Krt28/Krt31/Krt32/Krt33a/Krt33b/Krt34/Krt35/Krt36/Krt39/Krt4/Krt40/Krt42/Krt5/Krt6a/Krt6b/Krt7/Krt71/Krt72/Krt73/Krt75/Krt76/Krt77/Krt78/Krt79/Krt8/Krt81/Krt82/Krt83/Krt84/Krt86/Krt87/Krt9/Krt90/Lmna/Lmnb1/Lmnb2/Lmntd1/Lmntd2/Nefh/Nefl/Nefm/Prph/Vim	Filament/Filament/LTD	169	6.4	3.13	no
ACROYT_G021715	Ocupat_v02_G021715			361	1.55	3.11	no
ACROYT_G022656	Ocupat_v02_G022656	Ncapd2	Cnd1_N/Cnd1	82	43.85	3.1	no
ACROYT_G038259	Ocupat_v02_G038259			126	11.5	3.08	no
ACROYT_G037428	Ocupat_v02_G037428			85	16.77	3.06	no
ACROYT_G042579	Ocupat_v02_G042579		HSBP1	241	6.28	3.06	no
ACROYT_G016731	Ocupat_v02_G016731	HMGbox_Sox:like:Sox1/Sox2/Sox3/Sox14/Sox15/Sox21/Sry	HMG_box	89	15.98	3.05	yes
ACROYT_G038673	Ocupat_v02_G038673	AC159819.1/Ube2s	UQ_con	145	10.72	3.03	no
ACROYT_G008138	Ocupat_v02_G008138	Cetn1/Cetn2/Cetn3/Cetn4	EF-hand_7/EF-hand_7	129	11.68	3.01	no
ACROYT_G033442	Ocupat_v02_G033442	Dbh/Moxd1/Moxd2	DOMON/Cu2_monooxygen/Cu2_monoox_C	127	6.06	3.01	no
ACROYT_G006540	Ocupat_v02_G006540	Ccnd1/Ccnd2/Ccnd3	Cyclin_N/Cyclin_C	811	4.42	3	no
ACROYT_G009465	Ocupat_v02_G009465	Tuba1a/Tuba1b/Tuba1c/Tuba3a/Tuba3b/Tuba4a	Tubulin/Tubulin_C	1720	4.89	3	no
ACROYT_G032115	Ocupat_v02_G032115	Mgst1/Ptges	MAPEG/MAPEG	923	5.08	3	no
ACROYT_G028208	Ocupat_v02_G028208			79	70.54	2.99	no
ACROYT_G035411	Ocupat_v02_G035411	Prim1	DNA_primase_S	132	11.97	2.99	no
ACROYT_G038271	Ocupat_v02_G038271		GIY-YIG	114	10.23	2.99	no
ACROYT_G036751	Ocupat_v02_G036751	Ccnf	F-box-like/Cyclin_N/Cyclin_C	93	29.43	2.98	no
ACROYT_G022095	Ocupat_v02_G022095	Calml3	EF-hand_7/EF-hand_7	1136	4.41	2.97	no
ACROYT_G039131	Ocupat_v02_G039131	Lig1	DNA_ligase_A_N/DNA_ligase_A_M/DNA_ligase_A_C	96	19.83	2.96	no
ACROYT_G041985	Ocupat_v02_G041985	H2ab1/H2ab2/H2ab3/Macroh2a1/Macroh2a2	Histone/Histone_H2A_C	72	71.29	2.93	no
ACROYT_G017541	Ocupat_v02_G017541		WAC_Acf1_DNA_bd/DDT/WHIM1	73	19.01	2.92	no
ACROYT_G009642	Ocupat_v02_G009642	Spag5		68	47.55	2.91	no
ACROYT_G043547	Ocupat_v02_G043547	Cenpc1	CENP-C_C	68	16.67	2.91	no
ACROYT_G000625	Ocupat_v02_G000625	Nuf2	Nuf2/DHR10	68	55.74	2.9	no
ACROYT_G011400	Ocupat_v02_G011400	Gins2	Sld5	85	18.2	2.89	no
ACROYT_G042828	Ocupat_v02_G042828	Hsd17b1/Rdh8	adh_short	71	3.79	2.89	no
ACROYT_G027916	Ocupat_v02_G027916	Cuzd1/Eng/Tectb/Tgfbr3/Tgfbr3l/Umodl1/Zp1/Zp2/Zp3/Zpld1	CUB/CUB/Zona_pellucida	71	8.54	2.88	no
ACROYT_G006423	Ocupat_v02_G006423	HLH:Ascl1/Ascl2/Ascl3/Ascl4/Ascl5	HLH	94	25.68	2.86	yes
ACROYT_G012855	Ocupat_v02_G012855		AA_permease_2	167	7.82	2.85	no
ACROYT_G027530	Ocupat_v02_G027530	Ect2	PTCB-BRCT/RhoGEF/PAN_1	80	46.51	2.85	no
ACROYT_G020691	Ocupat_v02_G020691			90	44.33	2.82	no
ACROYT_G040218	Ocupat_v02_G040218		Kelch_4/Kelch_4/Kelch_1/Kelch_4	64	22.38	2.81	no
ACROYT_G007828	Ocupat_v02_G007828	Anp32a/Anp32b/Anp32e	LRR_9	250	6.27	2.8	no
ACROYT_G003006	Ocupat_v02_G003006			72	37.5	2.79	no
ACROYT_G022650	Ocupat_v02_G022650	Syt14/Syt16	C2	68	6.4	2.79	no
ACROYT_G000210	Ocupat_v02_G000210	Tuba1a/Tuba1b/Tuba1c/Tuba3a/Tuba3b/Tuba4a	Tubulin/Tubulin_C	233	5.1	2.77	no
ACROYT_G029490	Ocupat_v02_G029490	Ccnb3	Cyclin_N/Cyclin_C	97	64.67	2.77	no
ACROYT_G003206	Ocupat_v02_G003206		Pep_M12B_propep/Reprolysin/ADAM_CR_2/TSP_1/ADAM_spacer1/TSP1_ADAMTS	293	81.39	2.76	no
ACROYT_G008318	Ocupat_v02_G008318	Ly6g6d	UPAR_LY6_2	467	2.79	2.76	no
ACROYT_G024939	Ocupat_v02_G024939			82	26.11	2.76	no
ACROYT_G001500	Ocupat_v02_G001500			61	42.07	2.73	no
ACROYT_G008332	Ocupat_v02_G008332	Poc5		65	47.1	2.7	no
ACROYT_G043045	Ocupat_v02_G043045	H3c1/H3c10/H3c11/H3c13/H3c14/H3c15/H3c2/H3c3/H3c4/H3c6/H3c7/H3c8	Histone/Linker_histone	72	69.23	2.7	no
ACROYT_G006374	Ocupat_v02_G006374	Cenps/Cort	CENP-S	73	30.54	2.68	no
ACROYT_G019450	Ocupat_v02_G019450	NFYB_NFYC:H2bc1/H2bc3/H2bc4/H2bc6/H2bc7/H2bc8/H2bc9/H2bc11/H2bc12/H2bc13/H2bc14/H2bc15/H2bc18/H2bc21/H2bu2/Hist1h2bp/Hist1h2bq/Hist1h2br	Histone	64	73.56	2.68	no
ACROYT_G008796	Ocupat_v02_G008796		DJ-1_PfpI	163	4.37	2.67	no
ACROYT_G038098	Ocupat_v02_G038098			55	4.08	2.64	no
ACROYT_G036539	Ocupat_v02_G036539		PLAT	112	44.98	2.62	no
ACROYT_G019960	Ocupat_v02_G019960	Cep135/Tsga10		69	27.94	2.6	no
ACROYT_G017893	Ocupat_v02_G017893	Rfc3	DNA_pol3_delta2	72	14.04	2.6	no
ACROYT_G005937	Ocupat_v02_G005937		DAN	75	3.34	2.58	no
ACROYT_G027408	Ocupat_v02_G027408			94	1.28	2.58	no
ACROYT_G024930	Ocupat_v02_G024930	Racgap1	RhoGAP	133	15.05	2.55	no
ACROYT_G041841	Ocupat_v02_G041841			65	53.72	2.55	no
ACROYT_G001423	Ocupat_v02_G001423	Mex3a/Mex3b/Mex3c/Mex3d	KH_1/KH_1/zf-C3HC4_3	112	3.65	2.54	no
ACROYT_G015807	Ocupat_v02_G015807	Ube2t	UQ_con	58	38.16	2.54	no
ACROYT_G043153	Ocupat_v02_G043153	H1f0	Linker_histone	61	83.56	2.54	no
ACROYT_G042662	Ocupat_v02_G042662	Syt14/Syt16	C2	74	8.31	2.52	no
ACROYT_G043063	Ocupat_v02_G043063	Fyb/Fyb2/Pram1		166	5.49	2.52	no
ACROYT_G036460	Ocupat_v02_G036460	Ckap5		89	9.79	2.51	no
ACROYT_G044249	Ocupat_v02_G044249	NFYB_NFYC:Pole4	CBFD_NFYB_HMF	65	12.65	2.49	yes
ACROYT_G019345	Ocupat_v02_G019345	Ccng1/Ccng2/Ccni	Cyclin_N	209	5.41	2.48	no
ACROYT_G007861	Ocupat_v02_G007861			96	4.09	2.47	no
ACROYT_G039541	Ocupat_v02_G039541			66	4.24	2.47	no
ACROYT_G009208	Ocupat_v02_G009208	Cit	Pkinase	57	20.5	2.46	no
ACROYT_G011096	Ocupat_v02_G011096	Kif15	Kinesin	91	4.67	2.46	no
ACROYT_G040461	Ocupat_v02_G040461	Ccdc61		58	17.9	2.46	no
ACROYT_G035516	Ocupat_v02_G035516	Myl1/Myl3/Myl4/Myl6/Myl6b	EF-hand_7/EF-hand_7	91	4.2	2.45	no
ACROYT_G006438	Ocupat_v02_G006438	Wee1/Wee2	Pkinase	52	42.28	2.44	no
ACROYT_G011362	Ocupat_v02_G011362		Chromo	65	15.05	2.44	no
ACROYT_G033215	Ocupat_v02_G033215	HLH:like:Hes1/Hes2/Hes3/Hes5/Hes6/Hes7	HLH/Hairy_orange	85	18.56	2.44	yes
ACROYT_G038303	Ocupat_v02_G038303	Rnaseh2c	RNase_H2_suC	89	14.45	2.44	no
ACROYT_G022096	Ocupat_v02_G022096	Calml3	EF-hand_7/EF-hand_7	1303	4.23	2.43	no
ACROYT_G035448	Ocupat_v02_G035448	Arhgap11a	RhoGAP	49	28.32	2.43	no
ACROYT_G026803	Ocupat_v02_G026803	Dnajc9	DnaJ	79	12.12	2.4	no
ACROYT_G005183	Ocupat_v02_G005183	Homeodomains:like:Cdx1/Cdx2/Cdx4/Hoxa9/Hoxa10/Hoxa11/Hoxa13/Hoxb9/Hoxb13/Hoxc9/Hoxc10/Hoxc11/Hoxc12/Hoxc13/Hoxd9/Hoxd10/Hoxd11/Hoxd12/Hoxd13	Homeodomain	57	3.3	2.39	yes
ACROYT_G027616	Ocupat_v02_G027616	Rnaseh2b	Ydr279_N/RNase_H2-Ydr279	76	17.43	2.38	no
ACROYT_G005658	Ocupat_v02_G005658	Gins4	Sld5/SLD5_C	75	10.42	2.35	no
ACROYT_G005778	Ocupat_v02_G005778	Ncaph	Cnd2	53	18.79	2.35	no
ACROYT_G031915	Ocupat_v02_G031915	Prf1	MACPF	78	5.59	2.35	no
ACROYT_G004787	Ocupat_v02_G004787	Homeodomains:Hmx1/Hmx2/Hmx3	Homeodomain	73	4.04	2.34	yes
ACROYT_G009209	Ocupat_v02_G009209		C1_1/CNH	72	29.63	2.34	no
ACROYT_G029555	Ocupat_v02_G029555	Ldlrap1	PID	82	9.09	2.34	no
ACROYT_G002193	Ocupat_v02_G002193	Cuzd1/Eng/Tectb/Tgfbr3/Tgfbr3l/Umodl1/Zp1/Zp2/Zp3/Zpld1	MAM/CUB/CUB/cEGF/Zona_pellucida	49	6.78	2.33	no
ACROYT_G003023	Ocupat_v02_G003023	Ttk	Pkinase	48	30.38	2.33	no
ACROYT_G008025	Ocupat_v02_G008025			187	54.84	2.33	no
ACROYT_G043505	Ocupat_v02_G043505	Fzr1	WD40/WD40/WD40	75	9.08	2.32	no
ACROYT_G011677	Ocupat_v02_G011677	Tk2	dNK	61	25.42	2.31	no
ACROYT_G017631	Ocupat_v02_G017631	Ckap2/Ckap2l	CKAP2_C	46	48.42	2.31	no
ACROYT_G021422	Ocupat_v02_G021422		Gla/F5_F8_type_C/fn2	56	25.81	2.3	no
ACROYT_G034797	Ocupat_v02_G034797	Cep128		60	14.81	2.3	no
ACROYT_G041645	Ocupat_v02_G041645	Cuzd1/Eng/Tectb/Tgfbr3/Tgfbr3l/Umodl1/Zp1/Zp2/Zp3/Zpld1	F5_F8_type_C/Zona_pellucida	57	4.34	2.29	no
ACROYT_G043154	Ocupat_v02_G043154	NFYB_NFYC:H2bc1/H2bc3/H2bc4/H2bc6/H2bc7/H2bc8/H2bc9/H2bc11/H2bc12/H2bc13/H2bc14/H2bc15/H2bc18/H2bc21/H2bu2/Hist1h2bp/Hist1h2bq/Hist1h2br	Histone	52	17.69	2.29	no
ACROYT_G009831	Ocupat_v02_G009831			51	4.01	2.28	no
ACROYT_G013512	Ocupat_v02_G013512	Calm4	EF-hand_7/EF-hand_7/EF-hand_7/EF-hand_7	90	1.95	2.28	no
ACROYT_G019475	Ocupat_v02_G019475	Spdl1		42	63.64	2.28	no
ACROYT_G021416	Ocupat_v02_G021416	Ndc80	Ndc80_HEC	51	52.58	2.28	no
ACROYT_G002743	Ocupat_v02_G002743		MIS13	103	8.45	2.27	no
ACROYT_G007479	Ocupat_v02_G007479	E2F_TDP:E2f7/E2f8	E2F_TDP/E2F_TDP	45	61.64	2.27	yes
ACROYT_G013465	Ocupat_v02_G013465			63	5.58	2.27	no
ACROYT_G038036	Ocupat_v02_G038036			122	2.34	2.27	no
ACROYT_G032402	Ocupat_v02_G032402			146	4.32	2.26	no
ACROYT_G034371	Ocupat_v02_G034371			138	2.24	2.26	no
ACROYT_G018332	Ocupat_v02_G018332	Kif4	Kinesin	45	50.56	2.25	no
ACROYT_G019084	Ocupat_v02_G019084	Homeodomains:like:Pax1/Pax2/Pax4/Pax5/Pax6/Pax8/Pax9	PAX/Homeodomain	60	5.35	2.25	yes
ACROYT_G025824	Ocupat_v02_G025824			51	6.95	2.25	no
ACROYT_G018857	Ocupat_v02_G018857	Melk	Pkinase/KA1	73	8.51	2.24	no
ACROYT_G038049	Ocupat_v02_G038049	H1f0	Linker_histone	110	3.17	2.24	no
ACROYT_G004690	Ocupat_v02_G004690	Cdc25a/Cdc25b/Cdc25c	M-inducer_phosp/Rhodanese	47	21.86	2.23	no
ACROYT_G009569	Ocupat_v02_G009569	Rpa1	REPA_OB_2/Rep_fac-A_C	58	8.36	2.23	no
ACROYT_G002815	Ocupat_v02_G002815		IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ/IQ	54	42.86	2.22	no
ACROYT_G007123	Ocupat_v02_G007123	Tesmin_TSO1-like:Lin54/Tesmin	TCR/TCR	72	6.96	2.2	yes
ACROYT_G022562	Ocupat_v02_G022562	Ano7	PDZ/PDZ/PDZ/Anoct_dimer/Anoctamin	42	7.22	2.2	no
ACROYT_G027203	Ocupat_v02_G027203	Dyrk1a/Dyrk1b	Pkinase	81	5.05	2.2	no
ACROYT_G004473	Ocupat_v02_G004473		PWWP	86	5.42	2.18	no
ACROYT_G005302	Ocupat_v02_G005302	Arhgap19	RhoGAP	51	57.95	2.18	no
ACROYT_G020690	Ocupat_v02_G020690	Kif20a/Kif20b	Kinesin	58	40.85	2.18	no
ACROYT_G026893	Ocupat_v02_G026893		DUF885	41	5.44	2.18	no
ACROYT_G008804	Ocupat_v02_G008804			43	70.49	2.17	no
ACROYT_G010577	Ocupat_v02_G010577	Slx1b	GIY-YIG	45	15.52	2.17	no
ACROYT_G016819	Ocupat_v02_G016819	Fbln2	NIDO/VWD/cEGF/EGF_CA/EGF_CA	79	7.68	2.17	no
ACROYT_G019654	Ocupat_v02_G019654	Lin37	LIN37	57	10.23	2.17	no
