id,gene,GO,GO name,GO ontology,GO p-value,GO num genes,Pfam top enriched domain,"Pfam top enriched domain, p-value",Pfam num genes,Pfam domain architecture,Pfam domain architecture (all enrichments),Gene name
ACROYT_G000077,Ocupat_v02_G000077,GO:1905952,regulation of lipid localization,BP,0.086,3,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0046942,carboxylic acid transport,BP,0.096,4,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0005737,cytoplasm,CC,0.11,44,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0005886,plasma membrane,CC,0.11,22,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0010883,regulation of lipid storage,BP,0.11,1,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0015909,long-chain fatty acid transport,BP,0.14,1,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0015711,organic anion transport,BP,0.15,4,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0071702,organic substance transport,BP,0.23,16,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0110165,cellular anatomical entity,CC,0.31,52,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:1905954,positive regulation of lipid localizatio...,BP,0.31,1,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0005829,cytosol,CC,0.34,14,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0006810,transport,BP,0.37,19,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0071944,cell periphery,CC,0.44,22,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0051234,establishment of localization,BP,0.45,19,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0007154,cell communication,BP,0.49,22,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0051716,cellular response to stimulus,BP,0.51,23,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0010876,lipid localization,BP,0.57,6,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0033554,cellular response to stress,BP,0.65,11,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0050896,response to stimulus,BP,0.67,28,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0032879,regulation of localization,BP,0.76,9,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0051179,localization,BP,0.77,21,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0005515,protein binding,MF,0.79,25,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0005622,intracellular anatomical structure,CC,0.83,44,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0006996,organelle organization,BP,0.85,9,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0048518,positive regulation of biological proces...,BP,0.85,21,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0033036,macromolecule localization,BP,0.87,14,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0043231,intracellular membrane-bounded organelle,CC,0.89,36,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0043226,organelle,CC,0.91,40,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0043227,membrane-bounded organelle,CC,0.91,37,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0043229,intracellular organelle,CC,0.91,39,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0071840,cellular component organization or bioge...,BP,0.92,16,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0009605,response to external stimulus,BP,0.93,9,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0016043,cellular component organization,BP,0.93,15,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0006950,response to stress,BP,0.94,12,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0043228,non-membrane-bounded organelle,CC,0.95,13,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0043232,intracellular non-membrane-bounded organ...,CC,0.95,13,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0050789,regulation of biological process,BP,0.98,28,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0065007,biological regulation,BP,0.98,30,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0005634,nucleus,CC,0.99,13,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0003674,molecular_function,MF,1,52,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0005488,binding,MF,1,33,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0005575,cellular_component,CC,1,52,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0008150,biological_process,BP,1,51,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0009991,response to extracellular stimulus,BP,1,6,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0031667,response to nutrient levels,BP,1,6,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0031668,cellular response to extracellular stimu...,BP,1,6,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0031669,cellular response to nutrient levels,BP,1,6,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0042594,response to starvation,BP,1,6,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0051235,maintenance of location,BP,1,4,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000077,Ocupat_v02_G000077,GO:0071496,cellular response to external stimulus,BP,1,6,Perilipin,0.024,1,Perilipin,Perilipin(2.4E-02),Plin1/Plin2/Plin3/Plin4/Plin5
ACROYT_G000862,Ocupat_v02_G000862,GO:0009267,cellular response to starvation,BP,0.000039,6,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0005765,lysosomal membrane,CC,0.00013,6,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0005764,lysosome,CC,0.00035,12,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0019915,lipid storage,BP,0.00037,4,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0016020,membrane,CC,0.0046,37,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0043523,regulation of neuron apoptotic process,BP,0.0067,4,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0005576,extracellular region,CC,0.0082,12,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0009268,response to pH,BP,0.0097,2,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0061518,microglial cell proliferation,BP,0.0097,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:1901805,beta-glucoside catabolic process,BP,0.0097,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0005124,scavenger receptor binding,MF,0.0098,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0005783,endoplasmic reticulum,CC,0.011,12,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0008203,cholesterol metabolic process,BP,0.011,3,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0007040,lysosome organization,BP,0.012,3,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0043524,negative regulation of neuron apoptotic ...,BP,0.012,3,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0080171,lytic vacuole organization,BP,0.012,3,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0016125,sterol metabolic process,BP,0.013,3,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0031090,organelle membrane,CC,0.014,19,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0045760,positive regulation of action potential,BP,0.014,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:1904457,positive regulation of neuronal action p...,BP,0.014,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0004336,galactosylceramidase activity,MF,0.015,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0004348,glucosylceramidase activity,MF,0.015,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0008422,beta-glucosidase activity,MF,0.015,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0050295,steryl-beta-glucosidase activity,MF,0.015,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:1902652,secondary alcohol metabolic process,BP,0.016,3,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:1903008,organelle disassembly,BP,0.017,3,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0006680,glucosylceramide catabolic process,BP,0.019,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0030259,lipid glycosylation,BP,0.019,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0046477,glycosylceramide catabolic process,BP,0.019,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0044283,small molecule biosynthetic process,BP,0.021,11,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0023021,termination of signal transduction,BP,0.024,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:1903061,positive regulation of protein lipidatio...,BP,0.024,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0006066,alcohol metabolic process,BP,0.026,5,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0001817,regulation of cytokine production,BP,0.028,6,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0006677,glycosylceramide metabolic process,BP,0.029,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0006678,glucosylceramide metabolic process,BP,0.029,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0050747,positive regulation of lipoprotein metab...,BP,0.029,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0097066,response to thyroid hormone,BP,0.029,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0071674,mononuclear cell migration,BP,0.03,2,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0035743,"CD4-positive, alpha-beta T cell cytokine...",BP,0.033,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0035745,T-helper 2 cell cytokine production,BP,0.033,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0046479,glycosphingolipid catabolic process,BP,0.033,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:1901615,organic hydroxy compound metabolic proce...,BP,0.033,6,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0006672,ceramide metabolic process,BP,0.034,2,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0019226,transmission of nerve impulse,BP,0.037,2,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0070887,cellular response to chemical stimulus,BP,0.037,13,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0002521,leukocyte differentiation,BP,0.038,4,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0021859,pyramidal neuron differentiation,BP,0.038,1,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0034612,response to tumor necrosis factor,BP,0.038,3,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0007610,behavior,BP,0.04,7,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
ACROYT_G000862,Ocupat_v02_G000862,GO:0031984,organelle subcompartment,CC,0.042,7,Glyco_hydro_30,0.024,1,Glyco_hydro_30 Glyco_hydro_30C,Glyco_hydro_30(2.4E-02);Glyco_hydro_30C(2.4E-02),Gba
