gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
Ocupat_v02_G016000	HLH:like:Id1/Id2/Id3/Id4	HLH	99	7.76	3.94	yes
Ocupat_v02_G026252	Ttc28	CH/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/CHAT	90	33.21	3.9	no
Ocupat_v02_G000643		LRR_8/LRR_8/LRR_8	88	71.54	3.84	no
Ocupat_v02_G011543		Lipase_3	112	4.57	3.82	no
Ocupat_v02_G036264		zf-LITAF-like	91	17.23	3.82	no
Ocupat_v02_G000949			88	21.84	3.8	no
Ocupat_v02_G038098			91	6.75	3.77	no
Ocupat_v02_G001251	Flywch1		93	91.18	3.73	no
Ocupat_v02_G041731		DSL/EGF/EGF/EGF/hEGF/hEGF/EGF/EGF/EGF/EGF/hEGF/EGF/hEGF/EGF/EGF/EGF_CA/EGF/EGF_CA/EGF	168	16.92	3.73	no
Ocupat_v02_G004981	Cnpy3/Cnpy4	DUF3456	111	14.34	3.68	no
Ocupat_v02_G027408			121	1.65	3.67	no
Ocupat_v02_G034161	Cuzd1/Eng/Tectb/Tgfbr3/Tgfbr3l/Umodl1/Zp1/Zp2/Zp3/Zpld1	Zona_pellucida	83	3.63	3.59	no
Ocupat_v02_G001556			87	26.52	3.57	no
Ocupat_v02_G039797		Zona_pellucida	99	8.06	3.54	no
Ocupat_v02_G026522	Muc4/Thbd	EGF_CA/EGF_CA/EGF_CA/EGF_CA/NIDO/VWD/EGF_CA/EGF_CA/cEGF/FXa_inhibition/cEGF/EGF_CA/SEA/EGF_CA	86	9.24	3.49	no
Ocupat_v02_G005930		CAP/CAP	88	7.66	3.46	no
Ocupat_v02_G004787	Homeodomains:Hmx1/Hmx2/Hmx3	Homeodomain	82	4.54	3.43	yes
Ocupat_v02_G037335	Mme/Mmel1/Phex	Peptidase_M13_N/Peptidase_M13/ABC_membrane/ABC_tran/ABC_membrane/ABC_tran	77	16.56	3.42	no
Ocupat_v02_G011490	Cyba	Cytochrom_B558a	109	8.42	3.33	no
Ocupat_v02_G007956		BCCT/PLAC8	84	7.98	3.29	no
Ocupat_v02_G019562			93	27.93	3.25	no
Ocupat_v02_G023051			762	3.44	3.22	no
Ocupat_v02_G032552		7tm_1	75	35.55	3.21	no
Ocupat_v02_G033123	Coch/Col12a1/Col14a1/Col20a1/Col22a1/Col28a1/Col6a3/Col6a4/Col6a5/Col6a6/Col7a1/Itgam/Itgax/Matn1/Matn2/Matn3/Matn4/Vit/Vwa1/Vwa2/Vwf	HH_signal/VWA/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Cadherin/Ig_2/Ig_3/EGF/SH2	82	8.89	3.2	no
Ocupat_v02_G016588		LRR_8/LRR_8	73	57.94	3.18	no
Ocupat_v02_G039778		Zona_pellucida	96	84.96	3.18	no
Ocupat_v02_G039204	Ddx17/Ddx5	DEAD/Helicase_C	364	4.54	3.15	no
Ocupat_v02_G005038	Dbh/Moxd1/Moxd2	DOMON/DOMON	71	4.83	3.14	no
Ocupat_v02_G013620			67	28.27	3.13	no
Ocupat_v02_G019523	N4bp2/N4bp2l1/N4bp2l2	AAA_33/DUF1771/Smr	98	10.72	3.13	no
Ocupat_v02_G024165	bZIP:Bach1/Bach2/Nfe2/Nfe2l1/Nfe2l2/Nfe2l3	bZIP_Maf	569	4.5	3.11	yes
Ocupat_v02_G001670		FAD_binding_4/BBE	125	4.81	3.1	no
Ocupat_v02_G037030	Tirap	TIR_2	135	4.98	3.05	no
Ocupat_v02_G009007	Guca1a/Hpca/Hpcal1/Ncald	EF-hand_8/EF-hand_7	179	3.46	3.03	no
Ocupat_v02_G019643			116	6.15	3.03	no
Ocupat_v02_G021715			187	0.8	3.03	no
Ocupat_v02_G009217	Plbd1/Plbd2	Phospholip_B	89	5.65	3.01	no
Ocupat_v02_G012822		Phospholip_A2_3	141	4.52	2.99	no
Ocupat_v02_G027483	Eif4a1/Eif4a2	DEAD/Helicase_C	867	3.51	2.98	no
Ocupat_v02_G007021	Oc90/Pla2g10/Pla2g1b/Pla2g2a/Pla2g2c/Pla2g2d/Pla2g2e/Pla2g2f/Pla2g5	Phospholip_A2_1	88	12.14	2.96	no
Ocupat_v02_G039134	Tob1/Tob2	BTG	795	4.01	2.96	no
Ocupat_v02_G034438			74	28.57	2.95	no
Ocupat_v02_G000875			58	11.09	2.93	no
Ocupat_v02_G037336	Mme/Mmel1/Phex	Peptidase_M13_N/Peptidase_M13	134	5.34	2.93	no
Ocupat_v02_G038870		DSPn/DSPc	111	7.26	2.93	no
Ocupat_v02_G023542	Eno1/Eno1b/Eno2/Eno3	Enolase_N/Enolase_C/Enolase_N/Enolase_C	490	4.61	2.92	no
Ocupat_v02_G023000			269	4.28	2.92	no
Ocupat_v02_G042929		CUB/CUB/CUB/CUB/CUB/CUB	110	9.8	2.88	no
Ocupat_v02_G001516	Mpeg1/Pfpl	MACPF	127	3.07	2.87	no
Ocupat_v02_G025820	Gca/Sri	EF-hand_8	522	3.17	2.86	no
Ocupat_v02_G034813	Ager/Alcam/Bcam/Cadm1/Cadm2/Cadm3/Cadm4/Cd22/Cd276/Crtam/Icosl/Igsf21/Kirrel/Kirrel2/Kirrel3/Mcam/Nectin1/Nectin2/Nectin3/Nectin4/Nphs1/Pdcd1/Pvr/Tapbpl/Tigit/Tmem25/Tmigd1/Vsig10/Vsig10l/Vtcn1	I-set	65	10.83	2.84	no
Ocupat_v02_G037644	Ly6m/Lynx1/Psca/Slurp2		59	18.61	2.84	no
Ocupat_v02_G041857	Ltf/Meltf/Trf	Transferrin	185	2.5	2.83	no
Ocupat_v02_G006189		Sod_Cu	132	4.47	2.82	no
Ocupat_v02_G004985	Smc6		70	11.24	2.8	no
Ocupat_v02_G027554			216	2.24	2.79	no
Ocupat_v02_G004582	Slc22a1/Slc22a12/Slc22a13/Slc22a13b/Slc22a14/Slc22a15/Slc22a19/Slc22a2/Slc22a20/Slc22a21/Slc22a22/Slc22a26/Slc22a27/Slc22a28/Slc22a29/Slc22a3/Slc22a30/Slc22a4/Slc22a5/Slc22a6/Slc22a7/Slc22a8	Sugar_tr	60	80	2.78	no
Ocupat_v02_G010954	Mvp	Vault_2/Vault/Vault/Vault/Vault_2/Vault/Vault_4/Vault_3/MVP_shoulder	140	4.64	2.78	no
Ocupat_v02_G022064		Astacin/ShK	59	5.34	2.78	no
Ocupat_v02_G018121	Slc26a1/Slc26a10/Slc26a2/Slc26a3/Slc26a4/Slc26a5/Slc26a6/Slc26a7/Slc26a8/Slc26a9	Sulfate_transp/STAS	58	21.4	2.75	no
Ocupat_v02_G029811			270	2.36	2.75	no
Ocupat_v02_G018640	Npc2	E1_DerP2_DerF2	54	83.08	2.74	no
Ocupat_v02_G008194			81	2.88	2.73	no
Ocupat_v02_G018351			94	6.04	2.73	no
Ocupat_v02_G032024	Hnrnpab/Hnrnpd/Hnrnpdl/Rbm31y	RRM_1/RRM_1	194	3.65	2.73	no
Ocupat_v02_G012516	Ube2c	UQ_con	54	7.73	2.71	no
Ocupat_v02_G032246		DUF4773/DUF4773	141	0.61	2.69	no
Ocupat_v02_G041923	bZIP:like:Atf3/Fos/Fosb/Fosl1/Fosl2/Jdp2	bZIP_1	176	5.15	2.69	yes
Ocupat_v02_G012461	Gpr158/Gpr179	7tm_3	64	9.16	2.68	no
Ocupat_v02_G026076	AA467197/Ndufa4/Ndufa4l2	B12D	161	4.3	2.67	no
Ocupat_v02_G037491	Wbp2/Wbp2nl	GRAM	147	4.67	2.67	no
Ocupat_v02_G006917	Cat	Catalase/Catalase-rel	444	3.79	2.66	no
Ocupat_v02_G039303		TSP_1/TSP_1/TSP_1/TSP_1	65	45.45	2.66	no
Ocupat_v02_G009940	Cd163/Cd163l1/Cd5l/Cd6/Cdcp3/Dmbt1/Lgals3bp/Marco/Msr1/Prss12/Scara5/Ssc4d/Ssc5d	SRCR/SRCR/SRCR/SRCR/SRCR/Ig_3	52	14.77	2.65	no
Ocupat_v02_G027138	Btg3/Btg4	BTG	251	3.12	2.64	no
Ocupat_v02_G031549		PH	126	4.7	2.64	no
Ocupat_v02_G004745		G-alpha	63	7.06	2.63	no
Ocupat_v02_G007676		CUB/CUB/CUB/CUB	51	38.93	2.62	no
Ocupat_v02_G030352	Kctd11/Kctd21/Kctd4/Kctd6/Ppa1/Ppa2	Pyrophosphatase	352	3.13	2.61	no
Ocupat_v02_G021424	Igf2r	CIMR/CIMR/CIMR/CIMR/CIMR/CIMR/CIMR/CIMR/CIMR/CIMR/CIMR/CIMR/CIMR/CIMR	86	5.46	2.6	no
Ocupat_v02_G018335	St13	HipN	267	2.88	2.58	no
Ocupat_v02_G040669			46	46.46	2.57	no
Ocupat_v02_G033286	Endod1/Endog/Exog	Endonuclease_NS	51	9.59	2.56	no
Ocupat_v02_G001675	Asphd1/Asphd2	Asp_Arg_Hydrox	62	5.29	2.55	no
Ocupat_v02_G009150	Ssh1/Ssh2/Ssh3	DEK_C/DSPc	81	6.86	2.55	no
Ocupat_v02_G011130	Prelid3a/Prelid3b	PRELI	114	4.54	2.53	no
Ocupat_v02_G034168	A26c3/Ankrd26/Ankrd36/Ankrd7/Ccdc144b/Poteg/Potegl	Ank_2/Ank_5	87	6.06	2.5	no
Ocupat_v02_G019631	Timp1/Timp2/Timp3/Timp4	TIMP	48	8.56	2.49	no
Ocupat_v02_G037948			50	87.72	2.48	no
Ocupat_v02_G003367	Cdk9	Pkinase	197	3.49	2.47	no
Ocupat_v02_G038277	Dbh/Moxd1/Moxd2	DOMON/DOMON	77	2.88	2.46	no
Ocupat_v02_G034574	BC051665/Cts3/Cts6/Cts7/Cts8/Ctsj/Ctsl/Ctsll3/Ctsm/Ctsq/Ctsr	Inhibitor_I29/Peptidase_C1	97	3.62	2.45	no
Ocupat_v02_G004006		LRR_8/LRR_8/LRR_8	50	43.48	2.44	no
Ocupat_v02_G027663			59	2.6	2.43	no
Ocupat_v02_G042514	Scn10a/Scn11a/Scn1a/Scn2a/Scn3a/Scn4a/Scn5a/Scn7a/Scn8a/Scn9a	Ion_trans/Ion_trans/Ion_trans/Ion_trans/GPHH	57	4.77	2.43	no
Ocupat_v02_G007351	Psap/Psapl1/Sftpb	SapA/SapB_1/SapB_2/SapB_1/SapB_2/SapB_1/SapB_2/SapA	547	2.1	2.42	no
Ocupat_v02_G017754	Proser1	DUF4476/DUF4476	143	3.16	2.41	no
Ocupat_v02_G024313	Hspd1	Cpn60_TCP1	330	3.24	2.41	no
Ocupat_v02_G012012	Ahcy	AdoHcyase/AdoHcyase_NAD	2534	3.3	2.39	no
Ocupat_v02_G025583		p450	51	6.27	2.39	no
Ocupat_v02_G041488			48	18.25	2.39	no
Ocupat_v02_G013558	F2/Hgf/Mst1/Plg/Ror1/Ror2	Kringle/fn3/fn3/fn3	60	9.6	2.38	no
Ocupat_v02_G044428	bZIP:Jun/Junb/Jund	Jun/bZIP_1	213	3.2	2.38	yes
Ocupat_v02_G003144	Fubp1/Fubp3/Khsrp	KH_1/KH_1/KH_1/KH_1/DUF1897	240	3.36	2.37	no
Ocupat_v02_G044521			44	8.73	2.37	no
Ocupat_v02_G006008	Pebp4	PBP	148	3.61	2.35	no
Ocupat_v02_G007440	Aoah	SapB_2/Lipase_GDSL	54	6.36	2.35	no
Ocupat_v02_G024247	Ube2z	UQ_con	63	6.92	2.34	no
Ocupat_v02_G033492	Dct/Kcp/Tyr/Tyrp1	Tyrosinase	54	12.08	2.34	no
Ocupat_v02_G028883		Profilin	2315	2.63	2.33	no
Ocupat_v02_G026612			43	64.18	2.32	no
Ocupat_v02_G027970			41	6.44	2.32	no
Ocupat_v02_G040439	Adora1/Adora2a/Adora2b/Adora3/Adra1a/Adra1b/Adra1d/Adra2a/Adra2b/Adra2c/Adrb2/Adrb3/Chrm1/Chrm2/Chrm3/Chrm4/Chrm5/Drd1/Drd2/Drd3/Drd4/Drd5/Hrh1/Hrh2/Hrh3/Hrh4/Htr1a/Htr1b/Htr1d/Htr1f/Htr2a/Htr2b/Htr2c/Htr4/Htr5a/Htr5b/Htr6/Htr7/Taar1/Taar2/Taar3/Taar4/Taar5/Taar6/Taar7a/Taar7b/Taar7d/Taar7e/Taar7f/Taar8a/Taar8b/Taar8c/Taar9	7tm_1	52	25.62	2.32	no
Ocupat_v02_G004262		Vault_2/Vault/Vault/Vault/Vault_2/Vault/Vault_4/Vault_3/MVP_shoulder	143	3.74	2.31	no
Ocupat_v02_G006854	Ffar4	7tm_1	41	10.79	2.31	no
Ocupat_v02_G043710	BC051665/Cts3/Cts6/Cts7/Cts8/Ctsj/Ctsl/Ctsll3/Ctsm/Ctsq/Ctsr	Inhibitor_I29/Peptidase_C1	48	25.81	2.31	no
Ocupat_v02_G013320		zf-C3HC4_2/zf-TRAF/zf-TRAF	77	4.55	2.3	no
Ocupat_v02_G027831			41	7.32	2.3	no
Ocupat_v02_G032584	Gramd4	GRAM	56	7.5	2.3	no
Ocupat_v02_G037991	Acta1/Acta2/Actb/Actbl2/Actc1/Actg1/Actg2	Actin	219	1.16	2.3	no
Ocupat_v02_G010548			44	91.67	2.29	no
Ocupat_v02_G027582		Methyltransf_7	140	2.82	2.29	no
Ocupat_v02_G008151		RabGAP-TBC	73	4.82	2.28	no
Ocupat_v02_G029726	Mrpl17	Ribosomal_L17	47	10.06	2.28	no
Ocupat_v02_G041695	Haao	3-HAO	92	3.87	2.28	no
Ocupat_v02_G041965			47	19.67	2.28	no
Ocupat_v02_G040585		Pkinase_Tyr	44	22	2.28	no
Ocupat_v02_G042774	Rnf11	zf-RING_2	90	4.45	2.28	no
Ocupat_v02_G026837		AOX	80	3.7	2.27	no
Ocupat_v02_G008482	H13	Peptidase_A22B	112	3.65	2.26	no
Ocupat_v02_G029593			95	5.13	2.26	no
Ocupat_v02_G034023	Glrx/Glrx2	Glutaredoxin	68	5.34	2.26	no
Ocupat_v02_G007379			44	14.06	2.25	no
Ocupat_v02_G038931	Gpr15/Xcr1	7tm_1	42	52.5	2.25	no
Ocupat_v02_G040560		Annexin/Annexin/Annexin	40	6.72	2.24	no
Ocupat_v02_G008114	Efna1/Efna2/Efna3/Efna4/Efna5/Efnb1/Efnb2/Efnb3	Ephrin	47	16.79	2.23	no
Ocupat_v02_G011015	Med15	Med15/Med15	57	6.65	2.23	no
Ocupat_v02_G033338	Ccpg1os	DUF4490	155	3.19	2.23	no
Ocupat_v02_G034655	Eif1/Eif1b	SUI1	314	3.12	2.23	no
Ocupat_v02_G010409	THAP_finger:like:Thap11	THAP/HTH_Tnp_4/DDE_Tnp_4	602	3.06	2.22	yes
Ocupat_v02_G031182		UBA_6/RNase_Zc3h12a	118	3.7	2.22	no
Ocupat_v02_G033912	Slc25a3	Mito_carr/Mito_carr/Mito_carr	355	2.81	2.22	no
Ocupat_v02_G005423	Bpi/Bpifb2/Bpifb3/Bpifb4/Bpifc/Lbp/Pltp	LBP_BPI_CETP/LBP_BPI_CETP_C	77	3.11	2.21	no
Ocupat_v02_G010113	Ufd1	UFD1	53	6.27	2.21	no
Ocupat_v02_G022490	Ets:Ets1/Ets2/Etv2	UbiA/Ets	61	5.7	2.21	yes
Ocupat_v02_G043260		F5_F8_type_C	44	5.41	2.21	no
Ocupat_v02_G043269	Ptprk/Ptprm/Ptprt/Ptpru/Susd1	Y_phosphatase/Y_phosphatase	40	5.12	2.21	no
Ocupat_v02_G034483			40	16.46	2.2	no
Ocupat_v02_G007313	Gng10/Gng11/Gng12/Gng2/Gng3/Gng4/Gng5/Gng7/Gng8/Gngt1/Gngt2	G-gamma	215	2.91	2.19	no
Ocupat_v02_G029827		7tm_1	39	48.75	2.19	no
Ocupat_v02_G019501	Ufm1	Ufm1	93	3.81	2.18	no
Ocupat_v02_G029813			81	2.94	2.18	no
Ocupat_v02_G029653	Npc2	E1_DerP2_DerF2	211	0.98	2.18	no
Ocupat_v02_G002188	Cuzd1/Eng/Tectb/Tgfbr3/Tgfbr3l/Umodl1/Zp1/Zp2/Zp3/Zpld1	Zona_pellucida	40	6.77	2.17	no
Ocupat_v02_G006973	Cttn/Hcls1	HS1_rep/HS1_rep/HS1_rep/HS1_rep/HS1_rep/HS1_rep/HS1_rep/SH3_9	168	3.07	2.17	no
Ocupat_v02_G017640	Nme1/Nme2	NDK	416	2.09	2.17	no
Ocupat_v02_G036901			70	4.64	2.17	no
Ocupat_v02_G007228	Gas2/Gas2l3	CH/GAS2	51	4.43	2.16	no
Ocupat_v02_G029299			38	61.29	2.16	no
Ocupat_v02_G031772	Eef1b2/Eef1d	EF-1_beta_acid/EF1_GNE	1191	2.73	2.16	no
Ocupat_v02_G000549	Homeodomains:like:Otp/Pitx1/Pitx2/Pitx3/Prrx1/Prrx2	Homeodomain/OAR	36	4.01	2.15	yes
Ocupat_v02_G005662	Slco4a1/Slco4c1/Slco6c1/Slco6d1	OATP/Kazal_2	56	6.09	2.15	no
Ocupat_v02_G007941	Ly6g6d		124	0.98	2.15	no
Ocupat_v02_G000290			175	1.19	2.14	no
Ocupat_v02_G003044		Ion_trans	41	7.07	2.14	no
Ocupat_v02_G024047	Arpc2	P34-Arc	310	2.61	2.14	no
Ocupat_v02_G026257	Lcp1/Pls1/Pls3	CH/CH/CH/CH	36	53.73	2.14	no
Ocupat_v02_G034636	Ube2e1/Ube2e2/Ube2e3	UQ_con	64	4.65	2.14	no
Ocupat_v02_G011972	Tubb1/Tubb4a/Tubb4b/Tubb5	Tubulin/Tubulin_C	1862	2.78	2.13	no
Ocupat_v02_G025434	CAAA01077340.1/Cspg5/Impg1/Impg2/Muc1/Muc3/Muc3a	SEA/TSP_1	35	24.31	2.13	no
Ocupat_v02_G027052	Lsm1	LSM	83	3.83	2.13	no
Ocupat_v02_G032296	Agrn/Cntnap1/Cntnap2/Cntnap3/Cntnap4/Cntnap5a/Cntnap5b/Cntnap5c	Lectin_C/EGF_CA/TLD	52	10.55	2.13	no
Ocupat_v02_G040915		MAM/fn3/fn3/fn3/Trypsin/MAM/MAM/fn3/fn3/fn3/fn3/fn3/fn3/fn3/Trypsin/MAM/MAM	44	7.57	2.13	no
Ocupat_v02_G003560	Aimp1/Yars	tRNA_bind	246	3.1	2.11	no
Ocupat_v02_G007918	Dhfr	DHFR_1	104	2.26	2.11	no
Ocupat_v02_G021027	Mycbp		263	2.75	2.11	no
Ocupat_v02_G037757			43	6.68	2.11	no
Ocupat_v02_G043366	Cth	Cys_Met_Meta_PP	405	2.77	2.11	no
Ocupat_v02_G005725	Shtn1		70	5.09	2.1	no
Ocupat_v02_G007891		MFS_1_like	60	5.41	2.1	no
Ocupat_v02_G018777	Aldh1a1/Aldh1a2/Aldh1a3/Aldh1a7/Aldh1b1/Aldh2	Aldedh	128	3	2.1	no
Ocupat_v02_G032082			52	5.41	2.1	no
Ocupat_v02_G030481			132	3.11	2.1	no
Ocupat_v02_G032189		PH/PDZ	78	3.87	2.1	no
Ocupat_v02_G007225			194	1.74	2.09	no
Ocupat_v02_G007938	Zfand5/Zfand6	zf-A20/zf-AN1	87	3.87	2.09	no
Ocupat_v02_G020810		ubiquitin/ubiquitin/ubiquitin/ubiquitin/ubiquitin/ubiquitin	990	2.42	2.08	no
Ocupat_v02_G035558			37	5.72	2.08	no
Ocupat_v02_G017998	Gpr50/Gpr84/Gpr88/Mtnr1a/Mtnr1b	7tm_1	41	14.86	2.07	no
Ocupat_v02_G029639	Tpt1	TCTP	2377	3.01	2.07	no
Ocupat_v02_G005818		Neur_chan_LBD/Neur_chan_memb	37	25.17	2.06	no
Ocupat_v02_G009866	Arpc3	P21-Arc	261	2.68	2.06	no
Ocupat_v02_G019512		DOMON	45	4.58	2.06	no
Ocupat_v02_G023917	Mme/Mmel1/Phex	Peptidase_M13_N/Peptidase_M13	34	5.88	2.06	no
Ocupat_v02_G021032	Ptchd1/Ptchd3/Ptchd4	Patched	43	3.26	2.06	no
Ocupat_v02_G036832	Tmem86a	YhhN	48	7.52	2.06	no
Ocupat_v02_G007944	Ly6g6d	UPAR_LY6	425	0.97	2.05	no
Ocupat_v02_G042534	Unc79	UNC-79	42	8.05	2.05	no
Ocupat_v02_G022047		UPA/UPA	496	1.68	2.04	no
Ocupat_v02_G034409		RVT_1	33	7.66	2.04	no
Ocupat_v02_G007342	Ldlr/Lrp8/Vldlr	Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/Ldl_recept_a/FXa_inhibition/EGF_CA/Ldl_recept_b/Ldl_recept_b/FXa_inhibition	62	4.14	2.03	no
Ocupat_v02_G007053		EGF_CA/EGF_CA/EGF_CA	31	14.98	2.03	no
Ocupat_v02_G009675	Elob/Elobl	ubiquitin	336	2.67	2.03	no
Ocupat_v02_G024312	Wipf1/Wipf2/Wipf3	WH2	102	3.36	2.03	no
Ocupat_v02_G031997		Pkinase_Tyr	32	10.42	2.03	no
Ocupat_v02_G042361		PCC	33	9.24	2.03	no
Ocupat_v02_G039729		Zona_pellucida	38	29.23	2.02	no
Ocupat_v02_G005450	Qdpr	adh_short_C2	315	2.62	2.01	no
Ocupat_v02_G013053	Uqcrfs1	Ubiq-Cytc-red_N/UCR_TM/Rieske	186	2.73	2.01	no
Ocupat_v02_G021857			81	3.28	2.01	no
